,기준_년분기_코드,행정동_코드,월_평균_소득_금액,음식_지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,총_직장_인구_수,총_상주인구_수,총_유동인구_수
6556,20214,11590520,2420761,980419000,119,123,2,2,2,3,4,10303164118,291746,4687,12664,3409366
6557,20214,11590630,3884988,2110338000,173,194,3,5,3,6,21,11995101653,439547,2674,27227,7637188
6558,20214,11620585,3225725,3917639000,200,226,6,13,3,7,26,12164217902,353719,10344,15664,6124396
6559,20214,11620595,2768161,1701103000,174,190,4,8,3,6,16,9813064924,387227,6665,34681,11048645
6560,20214,11650510,4769119,2155202000,183,210,2,5,1,2,27,12184134824,410599,47386,21009,7717301
6561,20214,11650560,5338302,1108610000,131,141,6,8,6,8,10,6143932235,206168,7332,32298,6834744
6562,20214,11680565,5010204,7220806000,246,261,4,10,5,12,15,22248818782,408094,57122,27014,10133490
6563,20214,11680730,3022931,670411000,80,99,5,5,3,3,19,5704450160,225219,2518,15672,3037462
6564,20214,11710590,4370970,387545000,48,56,0,0,5,3,8,1111827786,51498,14196,20645,3458263
6565,20214,11710620,3521561,2476098000,292,334,5,16,4,13,42,14320511628,437954,27955,27076,8471389
6566,20214,11710631,4973588,498575000,80,82,2,2,1,1,2,10195441912,182340,5913,27823,746809
6567,20214,11740540,4514278,1074003000,53,61,3,2,3,2,8,4255209660,168558,2874,17494,2155306
6568,20214,11740685,2840603,2626114000,344,375,5,17,5,19,31,17379162654,613444,9468,46576,16834913
6569,20214,11740700,3414406,942422000,98,107,3,3,3,3,9,5519835765,172771,4961,26347,7695774
6570,20214,11110690,3006052,55237000,9,10,0,0,0,0,1,88410438,3478,300,6921,1253754
6571,20214,11140590,3229604,1898608000,254,288,4,12,4,12,34,15718308671,535907,42508,5204,5735433
6572,20214,11170560,4450695,1043300000,156,163,4,6,3,4,7,8467866352,318800,4677,16085,5325266
6573,20214,11170690,4208562,403057000,24,25,0,0,0,0,1,782629445,38734,14416,13196,1984174
6574,20214,11200535,4015131,2065767000,218,244,4,10,1,3,26,11378776045,243021,5949,27086,6253304
6575,20214,11200580,3858472,84580000,13,13,0,0,0,0,0,293511079,9447,1688,15758,3058056
6576,20214,11200645,4836487,887762000,52,56,2,1,7,4,4,905276123,21453,4791,26675,3124547
6577,20214,11215740,2542359,793961000,155,160,4,6,3,4,5,6509774260,228770,5496,16176,4060277
6578,20214,11230650,2863708,2438389000,307,336,4,13,3,9,29,14256920515,478135,10768,38693,8727732
6579,20214,11230730,3071586,326972000,52,57,2,1,7,4,5,1692703796,58645,4402,24296,5068569
6580,20214,11230740,3000929,969784000,131,141,0,0,0,0,10,3659780448,200996,4076,18532,9360289
6581,20214,11260565,2336892,1332843000,210,223,5,11,3,6,13,12953868933,505102,1764,34313,9993567
6582,20214,11260580,2969913,534965000,52,57,9,5,0,0,5,836490886,34062,2499,24775,5412334
6583,20214,11260655,2443681,1379988000,233,258,5,12,4,11,25,10808054031,358115,3417,30392,10497800
6584,20214,11260690,3060535,605899000,50,56,5,3,2,1,6,2975253522,89200,3776,21208,2059937
6585,20214,11290610,3162623,441574000,77,85,2,2,5,4,8,2593789205,89030,6952,15749,5712627
6586,20214,11290640,2482564,569210000,65,73,0,0,1,1,8,2057062881,57958,2441,15532,3073921
6587,20214,11320513,2229423,388872000,89,91,4,4,1,1,2,2694120493,94983,775,14305,4202624
6588,20214,11320522,2811820,525044000,100,105,0,0,5,5,5,2597242992,92815,2128,27800,3614606
6589,20214,11320681,2968285,175195000,13,16,6,1,6,1,3,1409468627,42325,1365,19259,2970720
6590,20214,11350612,3625940,109535000,17,18,0,0,0,0,1,84872563,6491,1414,22673,2873011
